Fetching 15 files:   0%|          | 0/15 [00:00<?, ?it/s]Fetching 15 files: 100%|██████████| 15/15 [00:00<00:00, 2212.34it/s]
[load] 15.13 GB
  mbpp 80/100: 28 ok
  mbpp 90/100: 31 ok
  mbpp 100/100: 37 ok
[mbpp] 37/100 = 37%
[mem] peak 1.53 GB
Fetching 11 files:   0%|          | 0/11 [00:00<?, ?it/s]Fetching 11 files: 100%|██████████| 11/11 [00:00<00:00, 1871.01it/s]
[load] 0.74 GB
  mmlu 50/500: 14 ok
  mmlu 100/500: 35 ok
  mmlu 150/500: 54 ok
  mmlu 200/500: 77 ok
  mmlu 250/500: 94 ok
  mmlu 300/500: 114 ok
  mmlu 350/500: 135 ok
  mmlu 400/500: 154 ok
  mmlu 450/500: 172 ok
  mmlu 500/500: 189 ok
[mmlu] 189/500 = 38%
  lambada 100/500: 36 ok
  lambada 200/500: 65 ok
  lambada 300/500: 103 ok
  lambada 400/500: 142 ok
  lambada 500/500: 179 ok
[lambada] 179/500 = 36%
[mem] peak 1.34 GB
Fetching 10 files:   0%|          | 0/10 [00:00<?, ?it/s]Fetching 10 files: 100%|██████████| 10/10 [00:00<00:00, 4685.85it/s]
[load] 0.66 GB
[transformers] Ignoring clean_up_tokenization_spaces=True for BPE tokenizer TokenizersBackend. The clean_up_tokenization post-processing step is designed for WordPiece tokenizers and is destructive for BPE (it strips spaces before punctuation). Set clean_up_tokenization_spaces=False to suppress this warning, or set clean_up_tokenization_spaces_for_bpe_even_though_it_will_corrupt_output=True to force cleanup anyway.
  math500 10/100: 8 ok
  math500 20/100: 15 ok
  math500 30/100: 21 ok
  math500 40/100: 26 ok
  math500 50/100: 28 ok
  math500 60/100: 32 ok
  math500 70/100: 34 ok
  math500 80/100: 36 ok
  math500 90/100: 38 ok
  math500 100/100: 42 ok
[math500] 42/100 = 42%
  mbpp 10/100: 2 ok
  mbpp 20/100: 6 ok
  mbpp 30/100: 14 ok
  mbpp 40/100: 17 ok
  mbpp 50/100: 19 ok
  mbpp 60/100: 22 ok
  mbpp 70/100: 28 ok
  mbpp 80/100: 31 ok
  mbpp 90/100: 34 ok
  mbpp 100/100: 39 ok
[mbpp] 39/100 = 39%
[mem] peak 1.47 GB
Fetching 10 files:   0%|          | 0/10 [00:00<?, ?it/s]Fetching 10 files: 100%|██████████| 10/10 [00:00<00:00, 2069.12it/s]
[load] 0.66 GB
[transformers] Ignoring clean_up_tokenization_spaces=True for BPE tokenizer TokenizersBackend. The clean_up_tokenization post-processing step is designed for WordPiece tokenizers and is destructive for BPE (it strips spaces before punctuation). Set clean_up_tokenization_spaces=False to suppress this warning, or set clean_up_tokenization_spaces_for_bpe_even_though_it_will_corrupt_output=True to force cleanup anyway.
  mmlu 50/500: 16 ok
  mmlu 100/500: 45 ok
  mmlu 150/500: 69 ok
  mmlu 200/500: 96 ok
  mmlu 250/500: 114 ok
  mmlu 300/500: 133 ok
  mmlu 350/500: 161 ok
  mmlu 400/500: 190 ok
  mmlu 450/500: 218 ok
  mmlu 500/500: 240 ok
[mmlu] 240/500 = 48%
  lambada 100/500: 43 ok
  lambada 200/500: 88 ok
  lambada 300/500: 133 ok
  lambada 400/500: 180 ok
  lambada 500/500: 230 ok
[lambada] 230/500 = 46%
[mem] peak 1.23 GB
Fetching 10 files:   0%|          | 0/10 [00:00<?, ?it/s]Fetching 10 files: 100%|██████████| 10/10 [00:00<00:00, 2629.33it/s]
[load] 0.42 GB
[transformers] Ignoring clean_up_tokenization_spaces=True for BPE tokenizer TokenizersBackend. The clean_up_tokenization post-processing step is designed for WordPiece tokenizers and is destructive for BPE (it strips spaces before punctuation). Set clean_up_tokenization_spaces=False to suppress this warning, or set clean_up_tokenization_spaces_for_bpe_even_though_it_will_corrupt_output=True to force cleanup anyway.
  math500 10/100: 4 ok
  math500 20/100: 10 ok
  math500 30/100: 12 ok
  math500 40/100: 15 ok
  math500 50/100: 17 ok
  math500 60/100: 20 ok
  math500 70/100: 22 ok
  math500 80/100: 23 ok
  math500 90/100: 24 ok
  math500 100/100: 26 ok
[math500] 26/100 = 26%
  mbpp 10/100: 2 ok
  mbpp 20/100: 4 ok
  mbpp 30/100: 9 ok
  mbpp 40/100: 11 ok
  mbpp 50/100: 14 ok
  mbpp 60/100: 14 ok
  mbpp 70/100: 16 ok
  mbpp 80/100: 19 ok
  mbpp 90/100: 21 ok
  mbpp 100/100: 26 ok
[mbpp] 26/100 = 26%
[mem] peak 1.09 GB
Fetching 10 files:   0%|          | 0/10 [00:00<?, ?it/s]Fetching 10 files: 100%|██████████| 10/10 [00:00<00:00, 1816.90it/s]
[load] 0.42 GB
[transformers] Ignoring clean_up_tokenization_spaces=True for BPE tokenizer TokenizersBackend. The clean_up_tokenization post-processing step is designed for WordPiece tokenizers and is destructive for BPE (it strips spaces before punctuation). Set clean_up_tokenization_spaces=False to suppress this warning, or set clean_up_tokenization_spaces_for_bpe_even_though_it_will_corrupt_output=True to force cleanup anyway.
  mmlu 50/500: 21 ok
  mmlu 100/500: 43 ok
  mmlu 150/500: 69 ok
  mmlu 200/500: 89 ok
  mmlu 250/500: 114 ok
  mmlu 300/500: 139 ok
  mmlu 350/500: 161 ok
  mmlu 400/500: 184 ok
  mmlu 450/500: 203 ok
  mmlu 500/500: 221 ok
[mmlu] 221/500 = 44%
  lambada 100/500: 36 ok
  lambada 200/500: 71 ok
  lambada 300/500: 113 ok
  lambada 400/500: 166 ok
  lambada 500/500: 210 ok
[lambada] 210/500 = 42%
[mem] peak 0.87 GB
